Rk,Player,Pos,Squad,Comp,90s,CPA
2845,Amadou Traore\4eb0686f,FW,Bordeaux,fr Ligue 1,0.2,0
2846,Charles Traore\de488e56,DF,Nantes,fr Ligue 1,8.0,0
2847,Ismaël Traoré\b666421b,DF,Angers,fr Ligue 1,35.7,0
2848,Kevin Trapp\ce17b5eb,GK,Eint Frankfurt,de Bundesliga,32.0,0
2849,Trézéguet\3ae14ed1,FW,Aston Villa,eng Premier League,0.1,0
2850,Simone Trimboli\f5f21026,MF,Sampdoria,it Serie A,0.7,0
2851,Kieran Trippier\21512407,DF,Newcastle Utd,eng Premier League,4.8,0
2852,Kieran Trippier\21512407,DF,Atlético Madrid,es La Liga,10.8,0
2853,William Troost-Ekong\7ed4921e,DF,Watford,eng Premier League,15.4,0
2854,Philipp Tschauner\73e2f6eb,GK,RB Leipzig,de Bundesliga,0.0,0
2855,Axel Tuanzebe\2baec6ce,DF,Aston Villa,eng Premier League,5.6,0
2856,Axel Tuanzebe\2baec6ce,DF,Napoli,it Serie A,0.1,0
2857,Maximilian Ullmann\caaf2ed1,DF,Venezia,it Serie A,2.7,0
2858,Sven Ulreich\7d3e7da6,GK,Bayern Munich,de Bundesliga,6.0,0
2859,Samuel Umtiti\3eed9821,DF,Barcelona,es La Liga,1.0,0
2860,Benjamin Uphoff\a9a6fc08,GK,Freiburg,de Bundesliga,2.0,0
2861,Kacper Urbanski\2d9d9e42,MF,Bologna,it Serie A,0.5,0
2862,Germán Valera\84f55b4a,FWMF,Real Sociedad,es La Liga,0.6,0
2863,Yan Valery\531a4aa8,DF,Southampton,eng Premier League,4.1,0
2864,Jesús Vallejo\c2111b45,DF,Real Madrid,es La Liga,3.8,0
2865,Jonathan Varane\4ade359f,MF,Lens,fr Ligue 1,0.0,0
2866,Raphaël Varane\9f8e9423,DF,Manchester Utd,eng Premier League,20.3,0
2867,Denis Vavro\08990838,DF,Lazio,it Serie A,0.1,0
2868,José Luis García Vayá\27dc1378,MF,Levante,es La Liga,22.4,0
2869,Matías Vecino\44ac04e9,MF,Inter,it Serie A,4.2,0
2870,Mickey van de Ven\8fe2a392,DF,Wolfsburg,de Bundesliga,2.1,0
2871,Simone Verdi\0375723e,FWMF,Torino,it Serie A,0.5,0
2872,Gonzalo Verdú\1c2c55fc,DF,Elche,es La Liga,15.5,0
2873,Vincent Vermeij\7e629adc,MF,Freiburg,de Bundesliga,0.0,0
2874,Freddie Veseli\d541e703,DF,Salernitana,it Serie A,6.6,0
2875,Jannik Vestergaard\1900032e,DF,Leicester City,eng Premier League,6.3,0
2876,Rúben Vezo\c67cd65c,DF,Levante,es La Liga,26.9,0
2877,Guglielmo Vicario\77d6fd4d,GK,Empoli,it Serie A,38.0,0
2878,Nick Viergever\e38f1636,DF,Greuther Fürth,de Bundesliga,23.7,0
2879,Luca Vignali\c1e8e74e,DF,Spezia,it Serie A,0.9,0
2880,Dídac Vilà\bad38a94,DFMF,Espanyol,es La Liga,2.3,0
2881,Daniel Villahermosa\de903ae2,MF,Espanyol,es La Liga,0.3,0
2882,Gonzalo Villar\bdc74a8f,MF,Getafe,es La Liga,3.3,0
2883,Nicolas Viola\45392b06,MF,Bologna,it Serie A,1.1,0
2884,Daniel Vivian\ab7bf91d,DF,Athletic Club,es La Liga,22.1,0
2885,Kevin Vogt\1d8e9add,DF,Hoffenheim,de Bundesliga,28.5,0
2886,Stefan de Vrij\d0d8dd44,DF,Inter,it Serie A,26.8,0
2887,Šime Vrsaljko\46a8347f,DF,Atlético Madrid,es La Liga,10.2,0
