Rk,Player,Pos,Squad,Comp,90s,CPA
178,Iker Muniain\c05dfb74,MF,Athletic Club,es La Liga,30.9,20
179,Nahitan Nández\95facda1,MFDF,Cagliari,it Serie A,16.9,20
180,Andrea Pinamonti\08aa9cd1,FW,Empoli,it Serie A,31.9,20
181,Wilfried Singo\8b609c34,DF,Torino,it Serie A,29.0,20
182,Adama Traoré\9a28eba4,FWDF,Barcelona,es La Liga,4.2,20
183,Iyenoma Udogie\7cd520e8,DF,Udinese,it Serie A,27.5,20
184,Patrick Wimmer\cb11b429,FWMF,Arminia,de Bundesliga,22.8,20
185,Amine Adli\dcfb17f4,FWMF,Leverkusen,de Bundesliga,14.0,19
186,Jim Allevinah\1956b948,FW,Clermont Foot,fr Ligue 1,16.5,19
187,Marko Arnautović\00459419,FW,Bologna,it Serie A,29.9,19
188,Jonathan David\ce50fd99,FW,Lille,fr Ligue 1,31.2,19
189,Sergiño Dest\5976f83e,DFFW,Barcelona,es La Liga,16.8,19
190,Sepe Elye Wahi\0d7b6576,FW,Montpellier,fr Ligue 1,19.8,19
191,Mattéo Guendouzi\5ea8ef20,MF,Marseille,fr Ligue 1,35.0,19
192,Achraf Hakimi\e42d61c7,DF,Paris S-G,fr Ligue 1,27.5,19
193,Alex Iwobi\6ca5ec4b,MFDF,Everton,eng Premier League,22.6,19
194,Ademola Lookman\7c104bb7,FWMF,Leicester City,eng Premier League,16.1,19
195,Dwight McNeil\fc15fb84,MF,Burnley,eng Premier League,34.5,19
196,Álvaro Odriozola\1d1691ad,DF,Fiorentina,it Serie A,19.3,19
197,David Okereke\d125f22f,FWMF,Venezia,it Serie A,22.8,19
198,Marko Pjaca\2c38b327,MFFW,Torino,it Serie A,12.8,19
199,Portu\1bda5842,FWMF,Real Sociedad,es La Liga,17.7,19
200,Giovanni Simeone\343c0d52,FW,Hellas Verona,it Serie A,29.5,19
201,Emile Smith Rowe\17695062,MFFW,Arsenal,eng Premier League,21.3,19
202,Jamie Vardy\45963054,FW,Leicester City,eng Premier League,20.1,19
203,Adam Armstrong\68c720b5,FW,Southampton,eng Premier League,15.7,18
204,Marco Asensio\45af8a54,FWMF,Real Madrid,es La Liga,19.2,18
205,Ángel Correa\01eb744d,FWMF,Atlético Madrid,es La Liga,20.6,18
206,Javairô Dilrosun\34a0f5ff,MFFW,Bordeaux,fr Ligue 1,19.2,18
207,Adri Embarba\db8f0eba,FWMF,Espanyol,es La Liga,22.1,18
208,Romain Faivre\745ca0a3,MF,Brest,fr Ligue 1,19.9,18
209,Javi Galán\a4b00319,DF,Celta Vigo,es La Liga,36.6,18
210,Vincenzo Grifo\54e4866f,MFFW,Freiburg,de Bundesliga,30.8,18
211,Raúl Jiménez\b561db50,FW,Wolves,eng Premier League,29.2,18
212,Tariq Lamptey\f4e433d4,DFFW,Brighton,eng Premier League,17.3,18
213,Manuel Lazzari\02caf6e0,DF,Lazio,it Serie A,18.5,18
214,Aaron Lennon\2ff964a0,MF,Burnley,eng Premier League,17.2,18
215,Anthony Lozano\38699c72,FWMF,Cádiz,es La Liga,18.6,18
216,Omar Marmoush\0e0102eb,FWMF,Stuttgart,de Bundesliga,17.5,18
217,Stephy Mavididi\30144daa,FWMF,Montpellier,fr Ligue 1,25.5,18
218,Jacob Murphy\de112b84,FWDF,Newcastle Utd,eng Premier League,16.4,18
219,Dani Rodríguez\70f8e0bd,MFFW,Mallorca,es La Liga,31.5,18
220,Lucas Vázquez\fd51b456,DF,Real Madrid,es La Liga,20.4,18
221,Florian Wirtz\e7fcf289,MFFW,Leverkusen,de Bundesliga,20.6,18
222,Rayan Aït Nouri\9b398aea,DF,Wolves,eng Premier League,20.3,17
223,Ihlas Bebou\a53b661f,FWDF,Hoffenheim,de Bundesliga,23.2,17
224,Moussa Dembélé\e7986081,FW,Lyon,fr Ligue 1,24.5,17
225,Angelo Fulgini\4b96c347,MFFW,Angers,fr Ligue 1,32.5,17
226,Emmanuel Gyasi\f9758dae,FWDF,Spezia,it Serie A,33.7,17
227,Eden Hazard\a39bb753,FWMF,Real Madrid,es La Liga,8.0,17
228,Branimir Hrgota\710fbdd1,FW,Greuther Fürth,de Bundesliga,30.9,17
229,Oussama Idrissi\34caa4b3,MF,Cádiz,es La Liga,10.0,17
230,Gaëtan Laborde\7cdda3bf,FW,Rennes,fr Ligue 1,30.3,17
231,Jesús Navas\3f10bd22,DF,Sevilla,es La Liga,19.8,17
232,Mathías Olivera\41c12f75,DF,Getafe,es La Liga,31.1,17
233,Paulinho\53070b63,FWMF,Leverkusen,de Bundesliga,13.5,17
234,Pedrosa\112521d1,DF,Espanyol,es La Liga,30.2,17
235,Timothee Pembele\f8ce97ca,DF,Bordeaux,fr Ligue 1,15.7,17
236,Roberto Pereyra\75f2c59f,MFFW,Udinese,it Serie A,19.9,17
237,Sandro Ramírez\833fb62e,FW,Getafe,es La Liga,16.2,17
238,David Raum\7d450ed3,DF,Hoffenheim,de Bundesliga,30.6,17
239,Ante Rebić\536cebe5,FW,Milan,it Serie A,9.9,17
240,Georginio Rutter\c64c01fc,FWMF,Hoffenheim,de Bundesliga,17.9,17
241,Kamaldeen Sulemana\a62f8bf1,MFFW,Rennes,fr Ligue 1,11.3,17
242,Dominik Szoboszlai\934e1968,MFFW,RB Leipzig,de Bundesliga,17.1,17
243,Burak Yılmaz\165a2e40,FW,Lille,fr Ligue 1,24.6,17
244,Mohamed Ali Cho\f8405304,FW,Angers,fr Ligue 1,20.4,16
245,Taiwo Awoniyi\e5478b87,FW,Union Berlin,de Bundesliga,24.2,16
246,Ridle Baku\442b56fa,DFFW,Wolfsburg,de Bundesliga,27.2,16
247,Álex Berenguer\dc1c2fce,MFFW,Athletic Club,es La Liga,24.1,16
248,Rafael Borré\c68da769,FW,Eint Frankfurt,de Bundesliga,26.4,16
249,Julian Brandt\a167537f,MFFW,Dortmund,de Bundesliga,23.1,16
250,Konrad De La Fuente\4b77bb89,FWDF,Marseille,fr Ligue 1,8.7,16
251,Bamba Dieng\40774c6b,FWMF,Marseille,fr Ligue 1,10.8,16
252,Paulo Dybala\e0921a4f,FWMF,Juventus,it Serie A,22.9,16
253,Ryan Fraser\d56543a0,FWMF,Newcastle Utd,eng Premier League,16.3,16
254,Reece James\1265a93a,DF,Chelsea,eng Premier League,20.7,16
255,Justin Kluivert\4c3a6744,MF,Nice,fr Ligue 1,20.8,16
256,Giorgos Kyriakopoulos\0a483542,DFFW,Sassuolo,it Serie A,21.9,16
257,Pol Lirola\ff800ed8,DFMF,Marseille,fr Ligue 1,19.7,16
258,Dodi Lukebakio\0c61c77c,FWMF,Wolfsburg,de Bundesliga,9.8,16
259,Yunus Musah\b51b1b9c,MFFW,Valencia,es La Liga,14.0,16
260,Jamal Musiala\2c0558b8,MFFW,Bayern Munich,de Bundesliga,16.3,16
261,Masaya Okugawa\63b9cc6d,MFFW,Arminia,de Bundesliga,28.1,16
262,Lucas Paquetá\9b6f7fd5,MFFW,Lyon,fr Ligue 1,30.0,16
263,Pedro\3ca7254a,FW,Lazio,it Serie A,22.6,16
264,João Pedro\e8832875,FWMF,Watford,eng Premier League,18.3,16
265,Jacob Ramsey\1544f145,MF,Aston Villa,eng Premier League,27.4,16
266,Marco Reus\36a3ff67,MFFW,Dortmund,de Bundesliga,27.8,16
267,Patrik Schick\5d4f7d61,FW,Leverkusen,de Bundesliga,23.1,16
268,Nélson Semedo\d04b94db,DF,Wolves,eng Premier League,23.7,16
269,Stephan El Shaarawy\d3aaad90,DFFW,Roma,it Serie A,11.7,16
270,Marcus Thuram\6f8cd6d0,FWMF,M'Gladbach,de Bundesliga,10.9,16
271,Ruben Vargas\6ecbddf6,MFFW,Augsburg,de Bundesliga,22.0,16
272,Timothy Weah\8eec784d,MFFW,Lille,fr Ligue 1,18.0,16
273,Yacine Adli\26777636,MFFW,Bordeaux,fr Ligue 1,25.1,15
274,Kevin Agudelo\46fa7204,MFFW,Spezia,it Serie A,13.7,15
275,Jude Bellingham\57d88cf9,MF,Dortmund,de Bundesliga,31.0,15
276,Andrea Belotti\d705ba44,FW,Torino,it Serie A,15.2,15
277,Benjamin Bourigeaud\20e73fac,FWMF,Rennes,fr Ligue 1,35.5,15
278,Federico Di Francesco\1fca9171,FWMF,Empoli,it Serie A,15.2,15
279,Caleb Ekuban\7afbd2c3,FWMF,Genoa,it Serie A,19.1,15
280,Fidel\eb82b6f1,MFFW,Elche,es La Liga,25.1,15
281,Davide Frattesi\2a7d27c1,MF,Sassuolo,it Serie A,31.7,15
282,Gonçalo Guedes\e6bc67d7,FWMF,Valencia,es La Liga,29.0,15
283,Jonathan Ikone\42eaa028,MFFW,Lille,fr Ligue 1,11.8,15
284,Adnan Januzaj\4737cebe,FWMF,Real Sociedad,es La Liga,18.1,15
285,Yayah Kallon\f95f49d2,FWMF,Genoa,it Serie A,7.1,15
286,Ferland Mendy\3cefcaef,DF,Real Madrid,es La Liga,19.3,15
287,Henrikh Mkhitaryan\dd0daf32,MFFW,Roma,it Serie A,27.7,15
288,Lucas Moura\2b622f01,FWMF,Tottenham,eng Premier League,19.7,15
289,Lukas Nmecha\0cc5f4a5,FWMF,Wolfsburg,de Bundesliga,18.1,15
290,Mikel Oyarzabal\8c3c640c,FWMF,Real Sociedad,es La Liga,18.6,15
291,Gavi Paez\19cae58d,MFFW,Barcelona,es La Liga,25.7,15
292,Javi Puado\2683eda7,FWMF,Espanyol,es La Liga,24.9,15
293,Nathan Redmond\ab651565,MFFW,Southampton,eng Premier League,20.4,15
294,Renato Sanches\032f894e,MF,Lille,fr Ligue 1,18.3,15
295,Rubén Sobrino\19b776e9,FWMF,Cádiz,es La Liga,20.7,15
296,Hwang Ui-jo\a2d873dd,FW,Bordeaux,fr Ligue 1,27.9,15
297,Kevin Volland\64f69877,MFFW,Monaco,fr Ligue 1,27.1,15
298,Danny Welbeck\ce5143da,FW,Brighton,eng Premier League,16.4,15
299,Antonín Barák\01efac19,FWMF,Hellas Verona,it Serie A,26.0,14
300,Enis Bardhi\cac2537b,MFFW,Levante,es La Liga,18.9,14
301,Bebé\d8712bf9,FWMF,Rayo Vallecano,es La Liga,9.6,14
302,Jacob Bruun Larsen\4e204552,FWMF,Hoffenheim,de Bundesliga,9.0,14
303,Jimmy Cabot\46359159,DF,Angers,fr Ligue 1,22.3,14
304,Jonathan Clauss\5219ab4a,DF,Lens,fr Ligue 1,33.8,14
305,Jesús Corona\fb938d24,FWDF,Sevilla,es La Liga,12.9,14
306,Grégoire Defrel\854ee61a,FW,Sassuolo,it Serie A,15.1,14
307,Jeremy Doku\fffea3e5,FWMF,Rennes,fr Ligue 1,5.2,14
308,Conor Gallagher\c2731c10,MF,Crystal Palace,eng Premier League,31.6,14
309,Francisco Garcia\7226539b,DF,Rayo Vallecano,es La Liga,33.6,14
310,İlkay Gündoğan\819b3158,MF,Manchester City,eng Premier League,20.6,14
311,Amine Harit\e7d59f4f,FWMF,Marseille,fr Ligue 1,12.9,14
312,Borja Iglesias\75645f0e,FW,Betis,es La Liga,17.5,14
313,Dennis Johnsen\66784dee,FWMF,Venezia,it Serie A,16.1,14
314,Issa Kaboré\c066d1a5,DF,Troyes,fr Ligue 1,25.0,14
315,Marcos Llorente\02c15616,DFMF,Atlético Madrid,es La Liga,27.2,14
316,Rey Manaj\7703afb6,FW,Spezia,it Serie A,19.6,14
317,Lautaro Martínez\f7036e1c,FW,Inter,it Serie A,25.4,14
318,Mario Pašalić\e599253a,MFFW,Atalanta,it Serie A,22.2,14
319,João Pedro\81255c03,FW,Cagliari,it Serie A,36.9,14
320,Nicolas de Préville\b0547a87,FWMF,Metz,fr Ligue 1,21.9,14
321,Marcus Rashford\a1d5bd30,FWMF,Manchester Utd,eng Premier League,13.7,14
322,Nico Ribaudo\ce8039aa,MFFW,Espanyol,es La Liga,12.4,14
323,Oihan Sancet\bdb624a3,FW,Athletic Club,es La Liga,15.8,14
324,André Silva\3effaa34,FW,RB Leipzig,de Bundesliga,23.1,14
325,David Silva\e2716bd0,MF,Real Sociedad,es La Liga,19.1,14
326,Petar Stojanović\13b44b02,DF,Empoli,it Serie A,30.4,14
327,Kelvin Yeboah\ea0893d6,FW,Genoa,it Serie A,9.4,14
328,Max Aarons\774cf58b,DF,Norwich City,eng Premier League,32.0,13
329,Kevin Akpoguma\6ec6fde0,DF,Hoffenheim,de Bundesliga,17.0,13
330,Stuart Armstrong\97333cf5,MF,Southampton,eng Premier League,16.4,13
331,Farid Boulaya\a0791826,MFFW,Metz,fr Ligue 1,17.0,13
332,Sergio Canales\a6de370d,FWMF,Betis,es La Liga,31.0,13
333,Rayan Cherki\b34c63a5,FWMF,Lyon,fr Ligue 1,4.9,13
334,Philippe Coutinho\0ef89a37,MFFW,Aston Villa,eng Premier League,14.8,13
335,Sergi Darder\070a3904,MF,Espanyol,es La Liga,34.7,13
336,Giovanni Di Lorenzo\230a2fac,DF,Napoli,it Serie A,31.9,13
337,Hugo Ekitike\5b92d896,FW,Reims,fr Ligue 1,14.1,13
338,Mohamed Elyounoussi\68dc0dac,MFFW,Southampton,eng Premier League,22.7,13
339,Breel Embolo\0b4f388a,FWMF,M'Gladbach,de Bundesliga,24.1,13
340,Gerson\8827bf46,MFFW,Marseille,fr Ligue 1,28.3,13
341,Arnaud Kalimuendo\bf4c41f9,FW,Lens,fr Ligue 1,23.9,13
342,Daichi Kamada\15b287da,MFFW,Eint Frankfurt,de Bundesliga,23.8,13
343,Moise Kean\3d50bcdb,FW,Juventus,it Serie A,12.2,13
344,Kike\e897d8ba,FW,Osasuna,es La Liga,20.7,13
345,Valentino Livramento\afed6722,DF,Southampton,eng Premier League,24.5,13
346,Dejan Ljubicic\c455a2b2,MFFW,Köln,de Bundesliga,21.9,13
347,James Maddison\ee38d9c5,MFFW,Leicester City,eng Premier League,27.3,13
348,Luka Modrić\6025fab1,MF,Real Madrid,es La Liga,22.6,13
349,Nahuel Molina\23610943,DF,Udinese,it Serie A,29.3,13
350,Michael Olise\c4486bac,FWMF,Crystal Palace,eng Premier League,12.7,13
351,Dennis Praet\86695068,FWMF,Torino,it Serie A,17.1,13
352,Christian Pulisic\1bf33a9a,MFFW,Chelsea,eng Premier League,14.3,13
353,Declan Rice\1c7012b8,MF,West Ham,eng Premier League,35.3,13
354,Alexis Saelemaekers\ee251371,FW,Milan,it Serie A,20.7,13
355,Adrien Thomasson\c76b7567,MF,Strasbourg,fr Ligue 1,26.5,13
356,Hamari Traoré\a4b1028a,DF,Rennes,fr Ligue 1,32.1,13
357,Mark Uth\a3ddb1b9,MFFW,Köln,de Bundesliga,22.5,13
358,Joe Willock\a3b03921,MF,Newcastle Utd,eng Premier League,22.6,13
359,Callum Wilson\c596fcb0,FW,Newcastle Utd,eng Premier League,15.4,13
360,Marius Wolf\fa661778,DFFW,Dortmund,de Bundesliga,14.7,13
361,Martin Ødegaard\79300479,MF,Arsenal,eng Premier League,30.9,13
362,Filippo Bandinelli\d44360be,MF,Empoli,it Serie A,21.7,12
363,Christoph Baumgartner\437f2b00,MFFW,Hoffenheim,de Bundesliga,21.0,12
364,Mohamed Bayo\01870104,FW,Clermont Foot,fr Ligue 1,26.8,12
365,Jean-Ricner Bellegarde\10f0fdd3,MF,Strasbourg,fr Ligue 1,25.9,12
366,Beto\ed5c0319,FW,Udinese,it Serie A,24.1,12
367,Stuart Dallas\67ca8566,DFMF,Leeds United,eng Premier League,32.4,12
368,Alfred Duncan\528492ea,MF,Fiorentina,it Serie A,21.5,12
369,Anthony Elanga\2fba6108,FW,Manchester Utd,eng Premier League,13.5,12
370,Romain Faivre\745ca0a3,FWMF,Lyon,fr Ligue 1,9.9,12
371,Rubén García\5c96b017,FWMF,Osasuna,es La Liga,26.4,12
372,Christian Günter\8593f88c,DF,Freiburg,de Bundesliga,34.0,12
373,Jonas Hector\c2009df3,DF,Köln,de Bundesliga,28.4,12
374,Rico Henry\8a3c1dc7,DF,Brentford,eng Premier League,30.8,12
375,Érik Lamela\abe66106,FW,Sevilla,es La Liga,11.3,12
376,Jean-Victor Makengo\22bfb57e,MF,Udinese,it Serie A,26.1,12
377,Orel Mangala\a572e291,MF,Stuttgart,de Bundesliga,20.6,12
378,Neal Maupay\4bcf39f6,FW,Brighton,eng Premier League,25.3,12
379,Santi Mina\0b90bb97,FW,Celta Vigo,es La Liga,26.3,12
380,Opa Nguette\75a63397,FWMF,Metz,fr Ligue 1,11.6,12
381,Eddie Nketiah\a53649b7,FW,Arsenal,eng Premier League,9.3,12
382,Emerson Palmieri\e0bc6fdc,DF,Lyon,fr Ligue 1,25.2,12
383,Gastón Pereiro\7ec7738e,FWMF,Cagliari,it Serie A,10.8,12
384,Tommaso Pobega\55a1cac2,MF,Torino,it Serie A,24.9,12
385,Adrien Rabiot\8794e251,MF,Juventus,it Serie A,25.4,12
386,Marco Richter\f972644c,FWMF,Hertha BSC,de Bundesliga,18.9,12
387,Téji Savanier\6bde367b,MF,Montpellier,fr Ligue 1,26.8,12
388,Eldor Shomurodov\57469b2d,FWMF,Roma,it Serie A,8.7,12
389,Caio Henrique Oliveira Silva\30af8b93,DF,Monaco,fr Ligue 1,29.6,12
390,Borna Sosa\af0d79a9,DF,Stuttgart,de Bundesliga,27.8,12
391,Nuno Tavares\a65c844b,DF,Arsenal,eng Premier League,13.1,12
392,Cristian Tello\72a99e38,FWMF,Betis,es La Liga,9.1,12
393,Tiago Tomás\b492126a,FW,Stuttgart,de Bundesliga,11.9,12
394,Adrien Truffert\5d0e0a1f,DF,Rennes,fr Ligue 1,18.2,12
395,Jeong Woo-yeong\6190474d,FWMF,Freiburg,de Bundesliga,19.8,12
396,Che Adams\f2bf1b0f,FW,Southampton,eng Premier League,22.7,11
397,Ola Aina\246d153b,DF,Torino,it Serie A,16.0,11
398,Jordi Alba\4601e194,DF,Barcelona,es La Liga,29.4,11
399,Trent Alexander-Arnold\cd1acf9d,DF,Liverpool,eng Premier League,31.7,11
400,Miguel Almirón\862a1c15,MFFW,Newcastle Utd,eng Premier League,19.1,11
401,Marcos Alonso\f4290206,DF,Chelsea,eng Premier League,24.1,11
402,Keita Baldé\509a4ccb,FWMF,Cagliari,it Serie A,13.7,11
403,Cristiano Biraghi\9e1577aa,DF,Fiorentina,it Serie A,35.0,11
404,Osman Bukari\eab85789,FWMF,Nantes,fr Ligue 1,11.2,11
405,Sergi Canós\1137759d,DF,Brentford,eng Premier League,23.1,11
406,Federico Chiesa\b0f7e36c,MFFW,Juventus,it Serie A,9.6,11
407,David Pereira da Costa\59948ef7,MFFW,Lens,fr Ligue 1,16.3,11
408,Patrick Cutrone\a4fe8cda,FW,Empoli,it Serie A,15.6,11
409,Romain Del Castillo\0be95d34,MFFW,Brest,fr Ligue 1,10.8,11
410,Thomas Delaine\8332db56,DF,Metz,fr Ligue 1,25.7,11
411,Brahim Díaz\407feb71,MF,Milan,it Serie A,20.6,11
412,Emil Forsberg\9a2e0ccc,MFFW,RB Leipzig,de Bundesliga,19.0,11
413,Przemysław Frankowski\00a8d210,DF,Lens,fr Ligue 1,27.2,11
414,Sergi Guardiola\32974271,FW,Rayo Vallecano,es La Liga,19.0,11
415,Kelechi Iheanacho\c92e1a31,FW,Leicester City,eng Premier League,14.0,11
416,Willian José\d87e2cae,FW,Betis,es La Liga,17.8,11
417,Joselu\6265208f,FW,Alavés,es La Liga,34.7,11
418,Juanmi\84399660,FW,Betis,es La Liga,23.7,11
419,Ghislain Konan\6b2c894b,DF,Reims,fr Ligue 1,26.9,11
420,Bryan Lasme\ebac0ace,FW,Arminia,de Bundesliga,9.7,11
421,Thomas Lemar\4dbd0916,MF,Atlético Madrid,es La Liga,16.0,11
422,Miguel\6763373d,FWMF,Alavés,es La Liga,9.2,11
423,Thomas Müller\3c6089ab,MF,Bayern Munich,de Bundesliga,28.4,11
424,Riccardo Orsolini\e14ec482,FW,Bologna,it Serie A,19.8,11
425,Sergio Reguilón\3353737a,DF,Tottenham,eng Premier League,21.3,11
426,Rodrigo\1fb1c435,MFFW,Leeds United,eng Premier League,25.2,11
427,Fabián Ruiz Peña\c0c7ff58,MF,Napoli,it Serie A,26.5,11
428,Alexis Sánchez\2c0f8e9e,FW,Inter,it Serie A,9.8,11
429,Manuel Sánchez\ffacd3d5,DF,Osasuna,es La Liga,25.1,11
430,Alex Sandro\0d82903c,DF,Juventus,it Serie A,19.8,11
431,Kevin Schade\52afb588,FWMF,Freiburg,de Bundesliga,9.2,11
432,Suat Serdar\b3325a30,MFFW,Hertha BSC,de Bundesliga,24.6,11
433,Isaac Success\f573a8bf,FW,Udinese,it Serie A,10.1,11
434,Alexander Sørloth\e92cd3f7,FW,Real Sociedad,es La Liga,19.6,11
435,Tetê\7120a04d,FWMF,Lyon,fr Ligue 1,6.5,11
436,Francisco Trincão\77e39b04,FWMF,Wolves,eng Premier League,14.8,11
437,Andre-Frank Zambo Anguissa\6bb2c084,MF,Napoli,it Serie A,21.4,11
438,Christopher Antwi-Adjei\0a3f6cde,FWMF,Bochum,de Bundesliga,12.6,10
439,Pierre-Emerick Aubameyang\d5dd5f1f,FW,Barcelona,es La Liga,12.0,10
440,Leon Bailey\3a233281,FWMF,Aston Villa,eng Premier League,8.5,10
441,Ishak Belfodil\ff182fdc,FW,Hertha BSC,de Bundesliga,18.2,10
442,Mitchell van Bergen\0b2c9aec,FWMF,Reims,fr Ligue 1,10.9,10
443,Lucas Boyé\d49f3e6b,FW,Elche,es La Liga,19.0,10
444,Darko Brašanac\4accb7e0,MF,Osasuna,es La Liga,26.7,10
445,Maxwel Cornet\beb391dd,FWMF,Burnley,eng Premier League,19.6,10
446,Domen Črnigoj\22cd43d2,MFDF,Venezia,it Serie A,20.9,10
447,Andy Delort\d33c706e,FW,Nice,fr Ligue 1,27.2,10
448,Souleyman Doumbia\9daeac61,DF,Angers,fr Ligue 1,24.7,10
449,Emerson\df8b52a5,DF,Tottenham,eng Premier League,25.4,10
450,Ansu Fati\0ba976e4,FW,Barcelona,es La Liga,3.7,10
451,Pablo Fornals\82927de4,FWMF,West Ham,eng Premier League,31.1,10
452,Philipp Förster\76fa965f,FWMF,Stuttgart,de Bundesliga,10.7,10
453,Maxi Gómez\4c2e9442,FW,Valencia,es La Liga,21.7,10
454,Papu Gómez\6e4df551,MFFW,Sevilla,es La Liga,19.8,10
455,Antoine Griezmann\df69b544,FWMF,Atlético Madrid,es La Liga,18.8,10
456,Gabriel Gudmundsson\d5d22a58,DFMF,Lille,fr Ligue 1,14.9,10
457,Malo Gusto\d56b9520,DF,Lyon,fr Ligue 1,20.9,10
458,Robin Hack\0174ba21,FWMF,Arminia,de Bundesliga,15.2,10
459,Genki Haraguchi\f24ea523,MF,Union Berlin,de Bundesliga,19.5,10
460,Aaron Hickey\1780bb4a,DF,Bologna,it Serie A,31.3,10
461,Lucas Höler\ca618d23,FWMF,Freiburg,de Bundesliga,28.7,10
462,Iago\054849d2,DF,Augsburg,de Bundesliga,24.2,10
463,Danny Ings\07802f7f,FW,Aston Villa,eng Premier League,21.1,10
464,Joelinton\c17bfb65,MFFW,Newcastle Utd,eng Premier League,28.4,10
465,Naby Keïta\f25c8e3a,MF,Liverpool,eng Premier League,13.0,10
466,Sofian Kiyine\ce1806be,MFFW,Venezia,it Serie A,13.8,10
467,Kevin Lasagna\09538fdb,FWMF,Hellas Verona,it Serie A,13.2,10
468,Saša Lukić\c6e8cf1f,MF,Torino,it Serie A,33.1,10
469,Pablo Maffeo\5db04597,DF,Mallorca,es La Liga,32.7,10
470,Ruslan Malinovskyi\48d5bd33,FWMF,Atalanta,it Serie A,17.7,10
471,Jean-Philippe Mateta\50e6dc35,FW,Crystal Palace,eng Premier League,12.7,10
472,Brais Méndez\c9e39d91,MF,Celta Vigo,es La Liga,33.6,10
473,Rafa Mir\bbf5c11b,FW,Sevilla,es La Liga,20.1,10
474,Aleksei Miranchuk\a9aa0d1d,MFFW,Atalanta,it Serie A,8.6,10
475,Gerard Moreno\81f0781e,FW,Villarreal,es La Liga,13.2,10
476,Tete Morente\004d185e,MFFW,Elche,es La Liga,18.1,10
477,Mert Müldür\1295552e,DF,Sassuolo,it Serie A,22.7,10
478,Florian Neuhaus\36a59ba4,MF,M'Gladbach,de Bundesliga,23.6,10
479,M'Bala Nzola\a4948e67,FW,Spezia,it Serie A,11.9,10
480,Adam Ounas\ed90babd,MFFW,Napoli,it Serie A,3.6,10
481,Nicolas Pépé\57e3f0c7,FWMF,Arsenal,eng Premier League,7.7,10
482,Matteo Pessina\780e3631,MFFW,Atalanta,it Serie A,16.0,10
483,Andrew Robertson\2e4f5f03,DF,Liverpool,eng Premier League,28.2,10
484,Louis Schaub\b50ec54b,MFFW,Köln,de Bundesliga,7.3,10
485,Son\037dbd30,DF,Levante,es La Liga,21.9,10
486,Florian Sotoca\7a42d0df,FWMF,Lens,fr Ligue 1,27.6,10
487,Luis Suárez\a6154613,FW,Atlético Madrid,es La Liga,20.4,10
488,Flavien Tait\a0f9b535,MF,Rennes,fr Ligue 1,23.6,10
489,Ivan Toney\e09f279b,FW,Brentford,eng Premier League,32.3,10
490,Simone Verdi\0375723e,FWMF,Salernitana,it Serie A,9.2,10
491,Marco Verratti\1467af0d,MF,Paris S-G,fr Ligue 1,21.5,10
492,Silvan Widmer\f68b64fc,DF,Mainz 05,de Bundesliga,32.4,10
493,Nicola Zalewski\45191c29,DF,Roma,it Serie A,8.8,10
494,Akim Zedadka\0ff630d0,DF,Clermont Foot,fr Ligue 1,37.1,10
495,Luis Alberto\5294a83f,MF,Lazio,it Serie A,26.1,9
496,Angeliño\30941e96,DF,RB Leipzig,de Bundesliga,25.5,9
497,Youcef Atal\6a827d8e,DF,Nice,fr Ligue 1,12.7,9
498,Pierre-Emerick Aubameyang\d5dd5f1f,FW,Arsenal,eng Premier League,11.5,9
499,Steven Bergwijn\a29b1131,FWMF,Tottenham,eng Premier League,6.3,9
500,Anthony Caci\0118c54c,DF,Strasbourg,fr Ligue 1,26.6,9
501,Hakan Çalhanoğlu\cd0fa27b,MF,Inter,it Serie A,27.6,9
502,Irvin Cardona\5e080f73,FWMF,Brest,fr Ligue 1,14.8,9
503,Álex Collado\85dace26,MFFW,Granada,es La Liga,11.3,9
504,Marc Cucurella\1daec722,DF,Brighton,eng Premier League,34.3,9
505,Matheus Cunha\dc62b55d,FW,Atlético Madrid,es La Liga,11.8,9
506,Diogo Dalot\d9565625,DF,Manchester Utd,eng Premier League,20.0,9
507,Kerem Demirbay\54b4dc4e,MF,Leverkusen,de Bundesliga,22.8,9
508,Mattia Destro\d7d32194,FW,Genoa,it Serie A,19.4,9
509,Boulaye Dia\244bc2c8,FW,Villarreal,es La Liga,14.1,9
510,Federico Dimarco\970b8574,DF,Inter,it Serie A,15.9,9
511,Moussa Djenepo\254147d4,MF,Southampton,eng Premier League,5.1,9
512,Matt Doherty\d557d734,DF,Tottenham,eng Premier League,9.7,9
513,Anastasios Donis\0f26fd24,FWMF,Reims,fr Ligue 1,4.1,9
514,Odsonne Édouard\0562b7f1,FW,Crystal Palace,eng Premier League,17.4,9
515,Davide Faraoni\aae9d04a,DF,Hellas Verona,it Serie A,28.6,9
516,João Félix\8aafd64f,FWMF,Atlético Madrid,es La Liga,14.0,9
517,Chris Führich\0cf778df,MFFW,Stuttgart,de Bundesliga,19.0,9
518,Willem Geubbels\9836e892,FWMF,Nantes,fr Ligue 1,6.0,9
519,Aleksandr Golovin\3708e9fa,FWMF,Monaco,fr Ligue 1,16.7,9
520,Dani Gómez\0e5ddc7c,FW,Levante,es La Liga,11.8,9
521,Albert Guðmundsson\b79858d5,FWMF,Genoa,it Serie A,6.7,9
522,Hans Hateboer\3b333ac3,DF,Atalanta,it Serie A,15.4,9
