Rk,Player,Pos,Squad,Comp,90s,1/3
277,Alassane Pléa\bc6bd723,FWMF,M'Gladbach,de Bundesliga,23.0,42
278,Arkadiusz Reca\6213fd82,DF,Spezia,it Serie A,19.7,42
279,Téji Savanier\6bde367b,MF,Montpellier,fr Ligue 1,26.8,42
280,Arnaud Souquet\4e0afc5d,DF,Montpellier,fr Ligue 1,25.9,42
281,Iyenoma Udogie\7cd520e8,DF,Udinese,it Serie A,27.5,42
282,Andre-Frank Zambo Anguissa\6bb2c084,MF,Napoli,it Serie A,21.4,42
283,Simone Bastoni\1ac232b8,MFDF,Spezia,it Serie A,25.4,41
284,Federico Bernardeschi\ee93c1a9,MFFW,Juventus,it Serie A,16.4,41
285,Yves Bissouma\6c203af0,MF,Brighton,eng Premier League,23.5,41
286,Maxence Caqueret\f81ef10d,MF,Lyon,fr Ligue 1,25.9,41
287,Leo Dubois\ff0ab48c,DF,Lyon,fr Ligue 1,19.4,41
288,Achraf Hakimi\e42d61c7,DF,Paris S-G,fr Ligue 1,27.5,41
289,Branimir Hrgota\710fbdd1,FW,Greuther Fürth,de Bundesliga,30.9,41
290,Hirving Lozano\a69e4806,FW,Napoli,it Serie A,17.9,41
291,Ricardo Mangas\eef2d8ce,DF,Bordeaux,fr Ligue 1,26.1,41
292,Tyrick Mitchell\5cbd1eb0,DF,Crystal Palace,eng Premier League,34.5,41
293,Nahuel Molina\23610943,DF,Udinese,it Serie A,29.3,41
294,Jamal Musiala\2c0558b8,MFFW,Bayern Munich,de Bundesliga,16.3,41
295,Paulinho\53070b63,FWMF,Leverkusen,de Bundesliga,13.5,41
296,Dominik Szoboszlai\934e1968,MFFW,RB Leipzig,de Bundesliga,17.1,41
297,Flavien Tait\a0f9b535,MF,Rennes,fr Ligue 1,23.6,41
298,Pau Torres\532e1e4f,DF,Villarreal,es La Liga,31.7,41
299,Oleksandr Zinchenko\51cf8561,DF,Manchester City,eng Premier League,11.6,41
300,Michail Antonio\ac05f970,FW,West Ham,eng Premier League,33.0,40
301,Tolgay Arslan\963a328b,MF,Udinese,it Serie A,18.4,40
302,Jeremie Boga\fe012aca,FWMF,Atalanta,it Serie A,8.5,40
303,Denis Bouanga\0b0cbe5b,FWMF,Saint-Étienne,fr Ligue 1,27.1,40
304,David Pereira da Costa\59948ef7,MFFW,Lens,fr Ligue 1,16.3,40
305,Javairô Dilrosun\34a0f5ff,MFFW,Bordeaux,fr Ligue 1,19.2,40
306,Chris Führich\0cf778df,MFFW,Stuttgart,de Bundesliga,19.0,40
307,Jonas Hector\c2009df3,DF,Köln,de Bundesliga,28.4,40
308,Florian Kainz\94c18565,MFFW,Köln,de Bundesliga,25.8,40
309,Teun Koopmeiners\a26fb8aa,MF,Atalanta,it Serie A,23.6,40
310,Manuel Lanzini\26f6dca8,MFFW,West Ham,eng Premier League,19.8,40
311,Thomas Lemar\4dbd0916,MF,Atlético Madrid,es La Liga,16.0,40
312,Marcos Llorente\02c15616,DFMF,Atlético Madrid,es La Liga,27.2,40
313,Stanislav Lobotka\e1cbb531,MF,Napoli,it Serie A,18.7,40
314,Jordan Lotomba\fc4cf6a7,DF,Nice,fr Ligue 1,19.8,40
315,Adam Marušić\d4535821,DF,Lazio,it Serie A,30.2,40
316,João Pedro\e8832875,FWMF,Watford,eng Premier League,18.3,40
317,Ronaël Pierre-Gabriel\64ba07c0,DF,Brest,fr Ligue 1,28.3,40
318,Alex Sandro\0d82903c,DF,Juventus,it Serie A,19.8,40
319,Youri Tielemans\56f7a928,MF,Leicester City,eng Premier League,29.2,40
320,Walace\26db8853,MF,Udinese,it Serie A,33.0,40
321,Darko Brašanac\4accb7e0,MF,Osasuna,es La Liga,26.7,39
322,Étienne Capoue\5acc4a10,MF,Villarreal,es La Liga,25.4,39
323,Vladimír Coufal\fdf3cb77,DF,West Ham,eng Premier League,24.5,39
324,Sergiño Dest\5976f83e,DFFW,Barcelona,es La Liga,16.8,39
325,Jodel Dossou\a1dbfcb1,FW,Clermont Foot,fr Ligue 1,22.3,39
326,Phil Foden\ed1e53f3,FW,Manchester City,eng Premier League,23.6,39
327,Emil Forsberg\9a2e0ccc,MFFW,RB Leipzig,de Bundesliga,19.0,39
328,Lucas Hernández\c3ee18ef,DF,Bayern Munich,de Bundesliga,22.6,39
329,Gerrit Holtmann\2979c05a,FWMF,Bochum,de Bundesliga,20.4,39
330,Pierre Højbjerg\8b04d6c1,MF,Tottenham,eng Premier League,35.5,39
331,Takefusa Kubo\16aa3654,FWMF,Mallorca,es La Liga,17.8,39
332,Jesper Lindstrøm\37dc1a48,FWMF,Eint Frankfurt,de Bundesliga,22.0,39
333,Birger Meling\70c52749,DF,Rennes,fr Ligue 1,20.3,39
334,Quentin Merlin\0bfca6a1,DF,Nantes,fr Ligue 1,21.4,39
335,Luis Milla\19c36442,MF,Granada,es La Liga,29.9,39
336,Lucas Ocampos\a08b974a,FW,Sevilla,es La Liga,23.6,39
337,Giacomo Raspadori\6e058f06,MFFW,Sassuolo,it Serie A,30.4,39
338,Mário Rui\0b5a292a,DF,Napoli,it Serie A,33.2,39
339,Mohamed Salah\e342ad68,FW,Liverpool,eng Premier League,30.7,39
340,Damián Suárez\ba5004e1,DF,Getafe,es La Liga,30.1,39
341,Kieran Tierney\fce2302c,DF,Arsenal,eng Premier League,21.3,39
342,Manu Trigueros\963829d0,MFFW,Villarreal,es La Liga,24.2,39
343,Kostas Tsimikas\f315ca93,DF,Liverpool,eng Premier League,9.7,39
344,Óscar Valentín\592f3158,MF,Rayo Vallecano,es La Liga,28.5,39
345,Ruben Vargas\6ecbddf6,MFFW,Augsburg,de Bundesliga,22.0,39
346,Aleix Vidal\04965583,DFMF,Espanyol,es La Liga,21.1,39
347,Granit Xhaka\e61b8aee,MFDF,Arsenal,eng Premier League,25.9,39
348,Duván Zapata\d3de9af0,FW,Atalanta,it Serie A,19.1,39
349,Tommaso Augello\3cd3b384,DF,Sampdoria,it Serie A,26.6,38
350,César Azpilicueta\53cad200,DF,Chelsea,eng Premier League,23.0,38
351,Sergio Busquets\5ab0ea87,MF,Barcelona,es La Liga,35.5,38
352,Davide Calabria\2146785a,DF,Milan,it Serie A,23.5,38
353,Bryan Cristante\16657b95,MF,Roma,it Serie A,29.8,38
354,Matthias Ginter\f521b80a,DF,M'Gladbach,de Bundesliga,26.2,38
355,Andoni Gorosabel\6f5f82c0,DF,Real Sociedad,es La Liga,25.4,38
356,Hwang Hee-chan\169fd162,FWMF,Wolves,eng Premier League,20.2,38
357,Jonas Hofmann\2903a856,MFFW,M'Gladbach,de Bundesliga,23.1,38
358,Diogo Jota\178ae8f8,FW,Liverpool,eng Premier League,26.3,38
359,Jules Koundé\4d1666ff,DF,Sevilla,es La Liga,30.4,38
360,Dimitri Liénard\f7691f63,DFMF,Strasbourg,fr Ligue 1,22.7,38
361,Gelson Martins\3ef0fa48,FWMF,Monaco,fr Ligue 1,21.2,38
362,Nathanael Mbuku\46750e9c,FWMF,Reims,fr Ligue 1,15.8,38
363,Michael Olise\c4486bac,FWMF,Crystal Palace,eng Premier League,12.7,38
364,Benjamin Pavard\45a03961,DF,Bayern Munich,de Bundesliga,23.1,38
365,Karl Toko Ekambi\5ceba7fc,FW,Lyon,fr Ligue 1,25.5,38
366,Raúl de Tomás\02ef8778,FW,Espanyol,es La Liga,32.4,38
367,Brandon Williams\5e74d6c8,DF,Norwich City,eng Premier League,23.6,38
368,Iñaki Williams\6a99e0b1,FW,Athletic Club,es La Liga,30.9,38
369,Laurent Abergel\31626657,MF,Lorient,fr Ligue 1,32.8,37
370,Gaetano Castrovilli\0728bebe,MF,Fiorentina,it Serie A,15.5,37
371,Samuel Chukwueze\b8a642fc,MFFW,Villarreal,es La Liga,14.8,37
372,Kingsley Coman\042e8a49,FWDF,Bayern Munich,de Bundesliga,15.1,37
373,Souleyman Doumbia\9daeac61,DF,Angers,fr Ligue 1,24.7,37
374,Edin Džeko\3bb7f478,FW,Inter,it Serie A,27.4,37
375,Pascal Groß\8aec0537,MFDF,Brighton,eng Premier League,22.6,37
376,Rico Henry\8a3c1dc7,DF,Brentford,eng Premier League,30.8,37
377,Luis Javier Suárez\eeba07f8,FW,Granada,es La Liga,30.9,37
378,Joelinton\c17bfb65,MFFW,Newcastle Utd,eng Premier League,28.4,37
379,Kevin Kampl\b825a650,MF,RB Leipzig,de Bundesliga,21.1,37
380,Toni Kroos\6ce1f46f,MF,Real Madrid,es La Liga,23.4,37
381,James Maddison\ee38d9c5,MFFW,Leicester City,eng Premier League,27.3,37
382,Florent Mollet\7e82a78f,FWMF,Montpellier,fr Ligue 1,29.2,37
383,Rúben Neves\44bfb6c5,MF,Wolves,eng Premier League,29.6,37
384,David Raum\7d450ed3,DF,Hoffenheim,de Bundesliga,30.6,37
385,Rodrigo\1fb1c435,MFFW,Leeds United,eng Premier League,25.2,37
386,Junior Sambia\24eb7ed6,DFFW,Montpellier,fr Ligue 1,17.0,37
387,Alessandro Schöpf\106bca06,MF,Arminia,de Bundesliga,26.6,37
388,Mattias Svanberg\92d83c27,MF,Bologna,it Serie A,28.5,37
389,Aurélien Tchouaméni\4f255115,MF,Monaco,fr Ligue 1,32.5,37
390,Christopher Trimmel\056d2d95,DF,Union Berlin,de Bundesliga,22.1,37
391,Memphis Depay\8f696594,FW,Barcelona,es La Liga,20.6,36
392,Raphael Dias Belloli\3423f250,FWMF,Leeds United,eng Premier League,32.4,36
393,Dimitri Foulquier\45e17712,DF,Valencia,es La Liga,26.0,36
394,Kévin Gameiro\42276181,FW,Strasbourg,fr Ligue 1,26.5,36
395,José Luis Gayà\b05e2dbd,DF,Valencia,es La Liga,20.8,36
396,Martinelli\48a5a5d6,FWMF,Arsenal,eng Premier League,20.7,36
397,Bryan Mbeumo\6afaebf2,FW,Brentford,eng Premier League,32.3,36
398,Jakub Moder\f230bc30,MFFW,Brighton,eng Premier League,18.9,36
399,João Moutinho\f5a00fa4,MF,Wolves,eng Premier League,33.0,36
400,Yunus Musah\b51b1b9c,MFFW,Valencia,es La Liga,14.0,36
401,Mikel Oyarzabal\8c3c640c,FWMF,Real Sociedad,es La Liga,18.6,36
402,Renato Sanches\032f894e,MF,Lille,fr Ligue 1,18.3,36
403,Stephan El Shaarawy\d3aaad90,DFFW,Roma,it Serie A,11.7,36
404,Moussa Sissoko\2acd49b9,MF,Watford,eng Premier League,35.8,36
405,Florian Tardieu\ed39121c,MF,Troyes,fr Ligue 1,29.2,36
406,Kyle Walker\86dd77d1,DF,Manchester City,eng Premier League,19.5,36
407,Ismaël Bennacer\db092d3b,MF,Milan,it Serie A,16.9,35
408,Giulian Biancone\de40e38c,DF,Troyes,fr Ligue 1,25.5,35
409,Julian Brandt\a167537f,MFFW,Dortmund,de Bundesliga,23.1,35
410,Daniel Caligiuri\d1273f09,DFMF,Augsburg,de Bundesliga,22.3,35
411,Breel Embolo\0b4f388a,FWMF,M'Gladbach,de Bundesliga,24.1,35
412,Emerson\df8b52a5,DF,Tottenham,eng Premier League,25.4,35
413,Ciro Immobile\4431aed2,FW,Lazio,it Serie A,30.1,35
414,Arnaud Kalimuendo\bf4c41f9,FW,Lens,fr Ligue 1,23.9,35
415,Sofian Kiyine\ce1806be,MFFW,Venezia,it Serie A,13.8,35
416,Tariq Lamptey\f4e433d4,DFFW,Brighton,eng Premier League,17.3,35
417,Iñigo Lekue\59b7d823,DF,Athletic Club,es La Liga,21.4,35
418,Junior Messias\f49c4ae9,FWMF,Milan,it Serie A,15.9,35
419,Luis Muriel\eb2fe5b6,FW,Atalanta,it Serie A,17.1,35
420,Joakim Mæhle\c459a650,DF,Atalanta,it Serie A,16.3,35
421,Azzedine Ounahi\83299cc0,MF,Angers,fr Ligue 1,18.1,35
422,Rubén Sobrino\19b776e9,FWMF,Cádiz,es La Liga,20.7,35
423,Adrien Tameze\8da74c05,MFDF,Hellas Verona,it Serie A,28.6,35
424,Kevin Agudelo\46fa7204,MFFW,Spezia,it Serie A,13.7,34
425,Enis Bardhi\cac2537b,MFFW,Levante,es La Liga,18.9,34
426,Josh Brownhill\47369df8,MF,Burnley,eng Premier League,32.8,34
427,Anthony Caci\0118c54c,DF,Strasbourg,fr Ligue 1,26.6,34
428,Sergi Canós\1137759d,DF,Brentford,eng Premier League,23.1,34
429,Lorenzo De Silvestri\e74f0e59,DF,Bologna,it Serie A,25.5,34
430,João Félix\8aafd64f,FWMF,Atlético Madrid,es La Liga,14.0,34
431,Kiko Femenía\e5d01ecf,DF,Watford,eng Premier League,23.8,34
432,Alexander Isak\8e92be30,FW,Real Sociedad,es La Liga,23.8,34
433,Wahbi Khazri\2677a1de,FWMF,Saint-Étienne,fr Ligue 1,24.7,34
434,Mateusz Klich\282679b4,MF,Leeds United,eng Premier League,23.0,34
435,Timothée Kolodziejczak\ab096c6f,DF,Saint-Étienne,fr Ligue 1,28.5,34
436,Houboulang Mendes\1545cf15,DF,Lorient,fr Ligue 1,35.8,34
437,Mikel Merino\d080ed5e,MF,Real Sociedad,es La Liga,32.1,34
438,Isaac Palazón Camacho\49dbab27,FWMF,Rayo Vallecano,es La Liga,25.4,34
439,Rodrygo\8f5e92a6,FW,Real Madrid,es La Liga,16.2,34
440,Cristiano Ronaldo\dea698d9,FW,Manchester Utd,eng Premier League,27.3,34
441,Silvan Widmer\f68b64fc,DF,Mainz 05,de Bundesliga,32.4,34
442,Adil Aouchiche\b94b8be1,MFFW,Saint-Étienne,fr Ligue 1,12.0,33
443,Marko Arnautović\00459419,FW,Bologna,it Serie A,29.9,33
444,Kerem Demirbay\54b4dc4e,MF,Leverkusen,de Bundesliga,22.8,33
445,Juan Foyth\6c7762c3,DF,Villarreal,es La Liga,21.4,33
446,Julian Green\ad1d6fa4,MF,Greuther Fürth,de Bundesliga,11.7,33
447,Iago\054849d2,DF,Augsburg,de Bundesliga,24.2,33
448,Alex Oxlade-Chamberlain\38c7feef,MFFW,Liverpool,eng Premier League,8.7,33
449,Salih Özcan\15413fa5,MF,Köln,de Bundesliga,25.7,33
450,Mario Pašalić\e599253a,MFFW,Atalanta,it Serie A,22.2,33
451,Sergio Reguilón\3353737a,DF,Tottenham,eng Premier League,21.3,33
452,Anton Stach\0f59a7bf,MF,Mainz 05,de Bundesliga,20.7,33
453,Raheem Sterling\b400bde0,FW,Manchester City,eng Premier League,23.6,33
454,Sandro Tonali\0db169ae,MF,Milan,it Serie A,28.9,33
455,Jordan Veretout\4a56052c,MF,Roma,it Serie A,25.8,33
456,Aaron Wan-Bissaka\9e525177,DF,Manchester Utd,eng Premier League,19.9,33
457,Carlos Akapo\f2a68b97,DF,Cádiz,es La Liga,20.5,32
458,Benjamin André\ef9c1c95,MF,Lille,fr Ligue 1,30.6,32
459,Néstor Araujo\27a013f7,DF,Celta Vigo,es La Liga,29.1,32
460,Ridle Baku\442b56fa,DFFW,Wolfsburg,de Bundesliga,27.2,32
461,Jarrod Bowen\79c84d1c,FW,West Ham,eng Premier League,33.1,32
462,Nicolás Domínguez\20b3a502,MF,Bologna,it Serie A,22.4,32
463,Paulo Dybala\e0921a4f,FWMF,Juventus,it Serie A,22.9,32
464,Álex Fernández\aa677a35,MF,Cádiz,es La Liga,22.8,32
465,Yannick Gerhardt\62ab9184,MFDF,Wolfsburg,de Bundesliga,17.5,32
466,Billy Gilmour\df10e27c,MF,Norwich City,eng Premier League,20.6,32
467,Alex Iwobi\6ca5ec4b,MFDF,Everton,eng Premier League,22.6,32
468,Jorginho\45db685d,MF,Chelsea,eng Premier League,25.3,32
469,Lukas Kübler\2a29eb9b,DF,Freiburg,de Bundesliga,25.9,32
470,Stephy Mavididi\30144daa,FWMF,Montpellier,fr Ligue 1,25.5,32
471,John McGinn\90f91999,MF,Aston Villa,eng Premier League,34.3,32
472,Terem Moffi\065dc209,FW,Lorient,fr Ligue 1,30.1,32
473,Brian Oliván\a3e4bf46,DF,Mallorca,es La Liga,24.3,32
474,João Pedro\81255c03,FW,Cagliari,it Serie A,36.9,32
475,Portu\1bda5842,FWMF,Real Sociedad,es La Liga,17.7,32
476,Nicolas de Préville\b0547a87,FWMF,Metz,fr Ligue 1,21.9,32
477,Yoann Salmier\c3725db2,DF,Troyes,fr Ligue 1,29.6,32
478,Nico Schlotterbeck\34e12499,DF,Freiburg,de Bundesliga,30.9,32
479,Kamaldeen Sulemana\a62f8bf1,MFFW,Rennes,fr Ligue 1,11.3,32
480,Youcef Atal\6a827d8e,DF,Nice,fr Ligue 1,12.7,31
481,Alessandro Bastoni\75b86fb3,DF,Inter,it Serie A,25.7,31
482,Trevoh Chalobah\5515376c,DF,Chelsea,eng Premier League,16.1,31
483,Ángel Correa\01eb744d,FWMF,Atlético Madrid,es La Liga,20.6,31
484,Abdoulaye Doucouré\02b29014,MF,Everton,eng Premier League,28.2,31
485,Wataru Endo\c149016b,MF,Stuttgart,de Bundesliga,32.2,31
486,Pervis Estupiñán\d38fdf53,DF,Villarreal,es La Liga,17.5,31
487,Jorge de Frutos\38ce1150,MFFW,Levante,es La Liga,19.6,31
488,Conor Gallagher\c2731c10,MF,Crystal Palace,eng Premier League,31.6,31
489,Emmanuel Gyasi\f9758dae,FWDF,Spezia,it Serie A,33.7,31
490,Piero Hincapié\0c7a48f8,DF,Leverkusen,de Bundesliga,19.5,31
491,Jean Lucas\a99138af,MF,Monaco,fr Ligue 1,16.1,31
492,Fernando Marçal\9ae9eaea,DF,Wolves,eng Premier League,16.1,31
493,Maximilian Mittelstädt\88d4144a,DFFW,Hertha BSC,de Bundesliga,16.6,31
494,Oihan Sancet\bdb624a3,FW,Athletic Club,es La Liga,15.8,31
495,Adrien Thomasson\c76b7567,MF,Strasbourg,fr Ligue 1,26.5,31
496,Lucas Torró\0e4fef6e,MF,Osasuna,es La Liga,30.3,31
497,Adama Traoré\9a28eba4,FW,Wolves,eng Premier League,11.9,31
498,Dayot Upamecano\d248cd8f,DF,Bayern Munich,de Bundesliga,24.6,31
499,Martín Zubimendi\3ee0dd59,MF,Real Sociedad,es La Liga,28.8,31
500,Ola Aina\246d153b,DF,Torino,it Serie A,16.0,30
501,Iván Alejo\3d7e48ce,MFFW,Cádiz,es La Liga,11.8,30
502,Luke Ayling\420d7c7d,DF,Leeds United,eng Premier League,25.2,30
503,Mitchel Bakker\a8567629,DF,Leverkusen,de Bundesliga,20.2,30
504,Christoph Baumgartner\437f2b00,MFFW,Hoffenheim,de Bundesliga,21.0,30
505,Saïd Benrahma\5a04fd92,FWMF,West Ham,eng Premier League,24.1,30
506,Federico Bonazzoli\bf57eaab,FWMF,Salernitana,it Serie A,20.7,30
507,Jonathan Burkardt\05f99a4a,FWMF,Mainz 05,de Bundesliga,29.0,30
508,Jaume Costa\808d48f3,DF,Mallorca,es La Liga,20.3,30
509,Rubén Duarte\1fe0492d,DF,Alavés,es La Liga,29.1,30
510,Alfred Duncan\528492ea,MF,Fiorentina,it Serie A,21.5,30
511,Gabriel Gudmundsson\d5d22a58,DFMF,Lille,fr Ligue 1,14.9,30
512,Hans Hateboer\3b333ac3,DF,Atalanta,it Serie A,15.4,30
513,Oussama Idrissi\34caa4b3,MF,Cádiz,es La Liga,10.0,30
514,Kristijan Jakić\a8ee54ad,MF,Eint Frankfurt,de Bundesliga,20.9,30
515,Ismail Jakobs\a0415710,DFFW,Monaco,fr Ligue 1,13.4,30
516,Grigoris Kastanos\2a82aa85,MFFW,Salernitana,it Serie A,15.0,30
517,Pol Lirola\ff800ed8,DFMF,Marseille,fr Ligue 1,19.7,30
518,Riyad Mahrez\892d5bb1,FW,Manchester City,eng Premier League,16.6,30
519,Gianluca Mancini\5aa53281,DF,Roma,it Serie A,32.0,30
520,Neal Maupay\4bcf39f6,FW,Brighton,eng Premier League,25.3,30
521,David Okereke\d125f22f,FWMF,Venezia,it Serie A,22.8,30
522,Peter Pekarík\c18d22f5,DF,Hertha BSC,de Bundesliga,24.8,30
523,Matteo Pessina\780e3631,MFFW,Atalanta,it Serie A,16.0,30
524,Antonio Puertas\c77a8043,MFFW,Granada,es La Liga,25.1,30
525,Elvis Rexhbeçaj\1ae836b1,MF,Bochum,de Bundesliga,28.2,30
526,Mihailo Ristić\ea0aa7e0,DF,Montpellier,fr Ligue 1,20.0,30
527,Marten de Roon\2a1beb34,MFDF,Atalanta,it Serie A,28.3,30
528,Tomáš Souček\6613c819,MF,West Ham,eng Premier League,34.0,30
529,Nuno Tavares\a65c844b,DF,Arsenal,eng Premier League,13.1,30
530,Luke Thomas\fc027d02,DF,Leicester City,eng Premier League,21.2,30
531,Marcos Alonso\f4290206,DF,Chelsea,eng Premier League,24.1,29
532,Gianluca Busio\4a0b7f07,MF,Venezia,it Serie A,21.7,29
533,José Callejón\78841da9,FW,Fiorentina,it Serie A,14.4,29
534,José Campaña\61220da2,MF,Levante,es La Liga,15.8,29
535,Franco Cervi\5e1028e5,MF,Celta Vigo,es La Liga,20.0,29
536,Lassana Coulibaly\85a44ecc,MF,Salernitana,it Serie A,25.9,29
537,Roberto Firmino\4c370d81,FW,Liverpool,eng Premier League,11.0,29
538,Thomas Foket\90eb507d,DFMF,Reims,fr Ligue 1,24.8,29
539,Johan Gastien\868eaba0,MF,Clermont Foot,fr Ligue 1,30.5,29
540,Ridgeciano Haps\c8d7131c,DF,Venezia,it Serie A,22.8,29
541,Matheus Henrique\a2d9f138,MF,Sassuolo,it Serie A,12.0,29
542,Alexis Mac Allister\83d074ff,MFFW,Brighton,eng Premier League,23.6,29
543,Donyell Malen\864163f3,FW,Dortmund,de Bundesliga,18.7,29
544,Gideon Mensah\9bdd8118,DF,Bordeaux,fr Ligue 1,13.4,29
545,Aihen Muñoz\228b0d9d,DF,Real Sociedad,es La Liga,14.9,29
546,Thomas Partey\529f49ab,MF,Arsenal,eng Premier League,22.5,29
547,Nico Ribaudo\ce8039aa,MFFW,Espanyol,es La Liga,12.4,29
548,Oliver Skipp\6250083a,MF,Tottenham,eng Premier League,15.0,29
549,Milan Škriniar\30f5ffa9,DF,Inter,it Serie A,35.0,29
550,Cédric Soares\839c14e1,DF,Arsenal,eng Premier League,16.5,29
551,Tammy Abraham\f586779e,FW,Roma,it Serie A,34.3,28
552,Mohamed Ali Cho\f8405304,FW,Angers,fr Ligue 1,20.4,28
553,Allan\cc700722,MF,Everton,eng Premier League,24.3,28
554,Yuri Berchiche\b6e50615,DF,Athletic Club,es La Liga,11.3,28
555,Eduardo Camavinga\7b9c2d84,MF,Real Madrid,es La Liga,13.2,28
556,Dani Carvajal\4958bfb2,DF,Real Madrid,es La Liga,17.2,28
557,Séamus Coleman\0420d84f,DF,Everton,eng Premier League,29.5,28
558,Santi Comesaña\5ae499d0,MF,Rayo Vallecano,es La Liga,29.8,28
559,Éderson\a9202def,MF,Salernitana,it Serie A,12.7,28
560,Junior Firpo\24f59bb2,DF,Leeds United,eng Premier League,19.0,28
561,Philipp Förster\76fa965f,FWMF,Stuttgart,de Bundesliga,10.7,28
562,Mason Greenwood\58eee997,FWMF,Manchester Utd,eng Premier League,14.1,28
563,Amine Harit\e7d59f4f,FWMF,Marseille,fr Ligue 1,12.9,28
564,Eden Hazard\a39bb753,FWMF,Real Madrid,es La Liga,8.0,28
565,Mario Hermoso\555f3a0b,DF,Atlético Madrid,es La Liga,20.7,28
566,Elseid Hysaj\2f3452eb,DF,Lazio,it Serie A,22.5,28
567,Boubacar Kamara\cc77354e,MFDF,Marseille,fr Ligue 1,30.9,28
568,Franck Kessié\05e19d6a,MF,Milan,it Serie A,25.6,28
569,Koke\55126f3b,MF,Atlético Madrid,es La Liga,27.9,28
570,Dejan Ljubicic\c455a2b2,MFFW,Köln,de Bundesliga,21.9,28
571,Anthony Lozano\38699c72,FWMF,Cádiz,es La Liga,18.6,28
572,Nemanja Matić\eb7822d7,MF,Manchester Utd,eng Premier League,15.4,28
573,Facundo Medina\6f5ec8bb,DF,Lens,fr Ligue 1,28.8,28
574,Alberto Moreno\11b9265b,MFDF,Villarreal,es La Liga,13.6,28
575,Masaya Okugawa\63b9cc6d,MFFW,Arminia,de Bundesliga,28.1,28
576,Daniel Parejo\7460ca0d,MF,Villarreal,es La Liga,30.0,28
577,Carles Pérez\a8f21b9f,MFFW,Roma,it Serie A,6.2,28
578,Connor Roberts\24fae784,DF,Burnley,eng Premier League,18.8,28
